State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
RAJASTHAN,AJMER,119,2583052,1324085,1258967,1526673,926268,600405,684254,409335,274919,393498,171799,13499,41732,250461,363250,24509,2201663,314159,10605,6799,417,45614,184,51.0,49.0,95.0,61.0,39.0
RAJASTHAN,TONK,120,1421326,728136,693190,749659,478329,271330,380666,298911,81755,158264,32359,1908,12482,83447,189703,6295,1243527,153146,754,378,122,22458,30,51.0,49.0,95.0,64.0,36.0
RAJASTHAN,BUNDI,121,1110906,577160,533746,585044,371705,213339,303288,239836,63452,136969,33406,1392,7705,78692,143433,5787,1017688,66609,682,11059,144,13455,24,52.0,48.0,92.0,64.0,36.0
RAJASTHAN,BHILWARA,122,2408523,1220736,1187787,1256126,777582,478544,675880,530015,145865,373644,93768,6207,24014,175393,341043,17508,2224839,142427,1978,1468,183,35149,60,51.0,49.0,97.0,62.0,38.0
RAJASTHAN,RAJSAMAND,123,1156597,581339,575258,619139,383334,235805,365676,304622,61054,193276,36073,1989,9222,80267,168164,7060,1105676,33677,759,260,100,14966,68,50.0,50.0,99.0,62.0,38.0
RAJASTHAN,DUNGARPUR,124,1388552,696532,692020,681591,415820,265771,354363,322816,31547,141275,26351,1477,11742,46510,115373,4385,1340065,28662,830,240,226,16141,853,50.0,50.0,99.0,61.0,39.0
RAJASTHAN,BANSWARA,125,1797485,907754,889731,829343,513854,315489,429844,390437,39407,120603,34189,2324,15062,48693,108760,5287,1701234,48834,22250,427,138,22613,109,51.0,49.0,98.0,62.0,38.0
RAJASTHAN,CHITTORGARH,126,1544338,783171,761167,821825,514851,306974,455653,366780,88873,268172,59190,4941,16560,119801,223599,11261,1413163,97855,1274,1515,252,25843,136,51.0,49.0,97.0,63.0,37.0
RAJASTHAN,KOTA,127,1951014,1021161,929853,1298345,765396,532949,515189,203454,311735,339899,165563,12843,36297,236764,283909,24848,1661307,243993,5665,11058,280,25742,286,52.0,48.0,91.0,59.0,41.0
RAJASTHAN,BARAN,128,1222755,633945,588810,693307,432607,260700,318988,249184,69804,161310,32685,1363,9491,88344,150412,5741,1133349,79984,1432,3066,84,2795,48,52.0,48.0,93.0,62.0,38.0
RAJASTHAN,JHALAWAR,129,1411129,725143,685986,739792,466815,272977,362387,298624,63763,220428,38909,1750,9403,96225,167020,5385,1299751,96164,842,819,46,12488,42,51.0,49.0,95.0,63.0,37.0
RAJASTHAN,UDAIPUR,130,3068420,1566801,1501619,1582629,973444,609185,848218,665449,182769,357846,128320,14211,48517,180282,330546,27979,2869976,104307,7406,4278,209,78647,373,51.0,49.0,96.0,62.0,38.0
RAJASTHAN,PRATAPGARH,131,867848,437744,430104,401515,250122,151393,234082,209813,24269,71612,17984,716,5961,37216,78345,2803,827293,25597,358,72,32,14077,27,50.0,50.0,98.0,62.0,38.0
UTTAR PRADESH,SAHARANPUR,132,3466382,1834106,1632276,2077108,1220114,856994,889238,605082,284156,404499,149035,9699,38816,294410,419470,21310,1966892,1454052,6523,18627,1937,10208,135,53.0,47.0,89.0,59.0,41.0
UTTAR PRADESH,MUZAFFARNAGAR,133,4143512,2193434,1950078,2417339,1448528,968811,969850,673746,296104,368153,147785,10077,56149,331760,512592,32866,2382914,1711453,6495,18601,1516,16345,60,53.0,47.0,89.0,60.0,40.0
UTTAR PRADESH,BIJNOR,134,3682713,1921215,1761498,2135393,1241471,893922,908523,683875,224648,268353,128042,7303,37341,260312,445114,17143,2032081,1585210,6184,50624,1736,2134,41,52.0,48.0,92.0,58.0,42.0
UTTAR PRADESH,MORADABAD,135,4772006,2503186,2268820,2263848,1357435,906413,1047916,692398,355518,281758,179473,11690,61846,283005,504670,19316,2488265,2248392,13157,7555,1260,2426,382,52.0,48.0,91.0,60.0,40.0
UTTAR PRADESH,RAMPUR,136,2335819,1223889,1111930,1043666,630408,413258,539992,396775,143217,131112,62281,3847,25960,134249,253787,14386,1073890,1181337,9201,65316,384,1307,63,52.0,48.0,91.0,60.0,40.0
UTTAR PRADESH,AMROHA,137,1840221,963449,876772,983110,600541,382569,451374,335888,115486,89329,55064,2825,18303,101804,206663,7361,1075440,750368,5952,5295,189,517,21,52.0,48.0,91.0,61.0,39.0
UTTAR PRADESH,MEERUT,138,3443689,1825743,1617946,2141488,1254520,886968,803823,381520,422303,425624,236071,23717,69473,354359,440962,42392,2183255,1185643,10582,24912,1855,18544,236,53.0,47.0,89.0,59.0,41.0
UTTAR PRADESH,BAGHPAT,139,1303048,700070,602978,797970,489858,308112,316046,246055,69991,119121,44732,2989,19999,111663,155781,13301,917474,364583,1840,483,161,16139,25,54.0,46.0,86.0,61.0,39.0
UTTAR PRADESH,GHAZIABAD,140,4681645,2488834,2192811,3123264,1811397,1311867,1191723,355407,836316,695130,501592,78116,179552,592753,700485,119441,3414427,1186776,19026,23001,3487,16412,265,53.0,47.0,88.0,58.0,42.0
UTTAR PRADESH,GAUTAM BUDDHA NAGAR,141,1648115,890214,757901,1122947,666065,456882,509770,170835,338935,257586,193902,53181,87188,232925,278982,78631,1394025,215500,7366,9261,895,4518,91,54.0,46.0,85.0,59.0,41.0
UTTAR PRADESH,BULANDSHAHR,142,3499171,1845260,1653911,2031656,1253314,778342,880077,658449,221628,223922,124641,7865,38225,254050,410624,20979,2707195,777407,4088,2765,669,1572,86,53.0,47.0,90.0,62.0,38.0
UTTAR PRADESH,ALIGARH,143,3673889,1951996,1721893,2092567,1283380,809187,858059,582117,275942,268120,153283,13634,58336,262098,445913,21667,2904140,729283,7635,5875,2582,2805,91,53.0,47.0,88.0,61.0,39.0
UTTAR PRADESH,HATHRAS,144,1564708,836127,728581,942572,579157,363415,373033,288150,84883,134579,48911,3087,18621,121618,187223,6691,1397225,159448,1350,524,424,1289,63,53.0,47.0,87.0,61.0,39.0
UTTAR PRADESH,MATHURA,145,2547184,1367125,1180059,1507746,943346,564400,585290,407488,177802,281239,107867,8726,37596,221574,318989,16580,2310776,216933,3179,2872,883,2056,126,54.0,46.0,86.0,63.0,37.0
UTTAR PRADESH,AGRA,146,4418797,2364953,2053844,2680510,1614594,1065916,903823,496971,406852,536402,251013,27183,82012,433913,520896,44989,3922718,411313,10076,12057,4049,21508,384,54.0,46.0,87.0,60.0,40.0
UTTAR PRADESH,FIROZABAD,147,2498156,1332046,1166110,1521806,912314,609492,535368,349747,185621,196080,100919,5834,31797,169583,283190,10940,2140745,314812,3370,1804,3395,19077,61,53.0,47.0,88.0,60.0,40.0
UTTAR PRADESH,MAINPURI,148,1868529,993377,875152,1203885,712110,491775,411258,338475,72783,79022,43074,2642,24451,76780,209597,7361,1746649,100723,1729,475,8814,4161,38,53.0,47.0,88.0,59.0,41.0
UTTAR PRADESH,BUDAUN,149,3681896,1967759,1714137,1547477,986501,560976,867624,710956,156668,110177,62863,3634,30423,130433,354565,9654,2867707,790515,6320,1135,1959,678,87,53.0,47.0,87.0,64.0,36.0
UTTAR PRADESH,BAREILLY,150,4448359,2357665,2090694,2191759,1342697,849062,994411,631613,362798,272830,210687,15164,56575,300504,481724,24436,2830768,1536534,14822,28187,4371,931,339,53.0,47.0,89.0,61.0,39.0
UTTAR PRADESH,PILIBHIT,151,2031007,1072002,959005,1061095,654290,406805,461390,371752,89638,83006,47723,2870,18097,106945,205860,7560,1449007,489686,3510,84787,360,138,45,53.0,47.0,89.0,62.0,38.0
UTTAR PRADESH,SHAHJAHANPUR,152,3006538,1606403,1400135,1490930,915142,575788,655003,520289,134714,115163,91958,3889,27533,135885,288372,9927,2412595,527581,4630,51090,2312,301,84,53.0,47.0,87.0,61.0,39.0
UTTAR PRADESH,LAKHIMPUR KHERI,153,4021243,2123187,1898056,2034044,1237157,796887,862610,754938,107672,122761,86948,3402,29252,141512,359457,11395,3078262,807600,7502,94388,18454,487,226,53.0,47.0,89.0,61.0,39.0
UTTAR PRADESH,SITAPUR,154,4483992,2375264,2108728,2283733,1397702,886031,938902,827583,111319,102040,74072,3874,34609,123246,369436,11679,3555450,893725,6579,11611,2663,1410,79,53.0,47.0,89.0,61.0,39.0
UTTAR PRADESH,HARDOI,155,4092845,2191442,1901403,2221601,1374587,847014,907677,786613,121064,95508,60689,3845,32065,132969,387803,12396,3508131,556219,5822,5688,6671,446,98,54.0,46.0,87.0,62.0,38.0
UTTAR PRADESH,UNNAO,156,3108367,1630087,1478280,1773584,1053063,720521,717356,596317,121039,99466,70484,3476,28719,134235,306178,10191,2732016,363453,3574,1204,920,240,31,52.0,48.0,91.0,59.0,41.0
UTTAR PRADESH,LUCKNOW,157,4589838,2394476,2195362,3127260,1742440,1384820,1061721,344155,717566,582769,469747,68506,152257,506413,607420,90205,3537787,985070,20493,23883,3877,4975,504,52.0,48.0,92.0,56.0,44.0
UTTAR PRADESH,RAE BARELI,158,3405559,1752542,1653017,1965843,1165965,799878,778418,705025,73393,247856,65080,5184,34788,130197,363829,13483,2975998,413243,3634,2424,722,397,602,51.0,49.0,94.0,59.0,41.0
UTTAR PRADESH,FARRUKHABAD,159,1885204,1006240,878964,1092677,654827,437850,411490,316647,94843,88081,59209,2624,18733,87314,198066,6765,1596278,276846,3137,3160,3161,487,100,53.0,47.0,87.0,60.0,40.0
UTTAR PRADESH,KANNAUJ,160,1656616,881776,774840,1017087,603596,413491,365770,299785,65985,61491,32510,2488,18082,64187,174734,6011,1375788,273967,1263,504,2033,606,65,53.0,47.0,88.0,59.0,41.0
UTTAR PRADESH,ETAWAH,161,1581810,845856,735954,1062003,623583,438420,351126,265643,85483,113098,47520,2964,21506,84543,177997,7736,1457892,113961,1362,1045,1733,3917,94,53.0,47.0,87.0,59.0,41.0
UTTAR PRADESH,AURAIYA,162,1379545,740040,639505,930836,546198,384638,314274,255836,58438,65479,32687,2404,14279,60174,152099,5088,1273546,101963,1004,371,332,228,444,54.0,46.0,86.0,59.0,41.0
UTTAR PRADESH,KANPUR DEHAT,163,1796184,963255,832929,1170243,692964,477279,405256,363933,41323,49753,23831,2682,25354,65556,184973,12752,1612968,176327,1300,478,819,155,103,54.0,46.0,86.0,59.0,41.0
UTTAR PRADESH,KANPUR NAGAR,164,4581268,2459806,2121462,3243022,1829179,1413843,1049775,364869,684906,517271,421694,33966,93296,469346,571582,51177,3792174,720660,15751,29676,2733,5710,589,54.0,46.0,86.0,56.0,44.0
UTTAR PRADESH,JALAUN,165,1689974,906092,783882,1075196,653430,421766,396421,304856,91565,104176,42616,2217,18615,90428,199931,7009,1509708,171581,1148,463,2875,256,145,54.0,46.0,87.0,61.0,39.0
UTTAR PRADESH,JHANSI,166,1998603,1057436,941167,1304513,783705,520808,504913,309592,195321,183340,94342,8517,40774,163900,270128,18860,1823930,147842,7050,4951,1203,7328,311,53.0,47.0,89.0,60.0,40.0
UTTAR PRADESH,LALITPUR,167,1221592,641011,580581,641191,397586,243605,301832,258013,43819,77082,20720,1079,9906,53524,126482,5511,1163804,33724,1351,1034,69,20390,41,52.0,48.0,91.0,62.0,38.0
UTTAR PRADESH,HAMIRPUR,168,1104285,593537,510748,653299,408125,245174,311381,256081,55300,55929,20175,1196,11037,48564,137792,3791,1010014,91269,814,196,74,41,273,54.0,46.0,86.0,62.0,38.0
UTTAR PRADESH,MAHOBA,169,875958,466358,409600,488106,302283,185823,246823,198298,48525,42936,12874,1316,11298,35422,113025,5755,815142,57454,965,389,94,234,157,53.0,47.0,88.0,62.0,38.0
UTTAR PRADESH,BANDA,170,1799410,965876,833534,1002937,630626,372311,445625,378056,67569,73522,26907,1655,18612,52233,174698,5202,1637549,157612,1367,231,168,916,50,54.0,46.0,86.0,63.0,37.0
UTTAR PRADESH,CHITRAKOOT,171,991730,527721,464009,531072,330339,200733,230795,207237,23558,41046,11637,827,9437,27006,84775,2805,955372,34559,693,63,101,285,27,53.0,47.0,88.0,62.0,38.0
UTTAR PRADESH,FATEHPUR,172,2632733,1384722,1248011,1512166,911003,601163,636540,558807,77733,75263,43492,3385,33501,97968,271445,16758,2274674,350700,2201,402,172,199,47,53.0,47.0,90.0,60.0,40.0
UTTAR PRADESH,PRATAPGARH,173,3209141,1606085,1603056,1931559,1121381,810178,752786,711085,41701,140538,46358,5149,34400,135185,397265,15781,2731351,452394,3920,1451,7795,746,43,50.0,50.0,100.0,58.0,42.0
UTTAR PRADESH,KAUSHAMBI,174,1599596,838485,761111,813424,507279,306145,380620,349856,30764,43753,22034,1503,15029,52946,154650,4403,1372381,220423,2225,522,687,545,3,52.0,48.0,91.0,62.0,38.0
UTTAR PRADESH,PRAYAGRAJ,175,5954391,3131807,2822584,3665727,2199340,1466387,1248570,983266,265304,391542,204357,24122,85491,355913,616743,41965,5102041,796756,13782,4377,4391,2247,305,53.0,47.0,90.0,60.0,40.0
UTTAR PRADESH,BARABANKI,176,3260699,1707073,1553626,1692458,1010518,681940,714908,635840,79068,108116,60554,3159,26293,116157,306578,11935,2505444,737106,4857,2090,1553,3016,211,52.0,48.0,91.0,60.0,40.0
UTTAR PRADESH,AYODHYA,177,2470996,1259628,1211368,1450901,838339,612562,589666,510378,79288,127754,58328,4746,28625,99531,276720,15426,2094271,365806,3225,1912,737,358,185,51.0,49.0,96.0,58.0,42.0
UTTAR PRADESH,AMBEDKAR NAGAR,178,2397888,1212410,1185478,1486939,846676,640263,566590,501559,65031,99581,21512,2509,27308,61470,255512,9813,1985654,401678,2536,869,1817,235,33,51.0,49.0,98.0,57.0,43.0
UTTAR PRADESH,SULTANPUR,179,3797117,1914586,1882531,2239902,1300248,939654,889628,839737,49891,233701,55055,5956,44008,135697,440274,18382,3119590,650261,4453,1629,9989,426,336,50.0,50.0,98.0,58.0,42.0
UTTAR PRADESH,BAHRAICH,180,3487731,1843884,1643847,1398368,878285,520083,760262,698520,61742,85814,38940,2681,35463,71676,270422,13451,2291892,1169330,6400,8212,2793,1177,38,53.0,47.0,89.0,63.0,37.0
UTTAR PRADESH,SHRAWASTI,181,1117361,593897,523464,423313,276700,146613,257274,248770,8504,20419,4828,624,10074,15978,92836,2286,768643,343981,1427,407,323,68,56,53.0,47.0,88.0,65.0,35.0
UTTAR PRADESH,BALRAMPUR,182,2148665,1114721,1033944,868357,544943,323414,445838,410070,35768,57400,16229,1551,15510,34497,194750,6167,1333242,805975,3228,900,1866,198,87,52.0,48.0,93.0,63.0,37.0
UTTAR PRADESH,GONDA,183,3433919,1787146,1646773,1679994,1034181,645813,726372,673578,52794,104084,45517,4313,31811,78099,346478,13053,2739076,678615,4735,1893,649,338,57,52.0,48.0,92.0,62.0,38.0
UTTAR PRADESH,SIDDHARTHNAGAR,184,2559297,1295095,1264202,1228926,740718,488208,513513,480165,33348,93088,25883,2434,24662,56722,274281,9664,1789704,748073,3042,681,11964,179,356,51.0,49.0,98.0,60.0,40.0
UTTAR PRADESH,BASTI,185,2464464,1255272,1209192,1393783,819719,574064,545025,513960,31065,108101,37593,3423,30244,76856,278758,11477,2082976,364510,3493,900,9753,107,99,51.0,49.0,96.0,59.0,41.0
UTTAR PRADESH,SANT KABIR NAGAR,186,1715183,869656,845527,954949,567098,387851,352151,324972,27179,79525,17671,2031,19729,49191,195440,6778,1300586,404410,1766,447,4393,95,35,51.0,49.0,97.0,59.0,41.0
UTTAR PRADESH,MAHARAJGANJ,187,2684703,1381754,1302949,1419144,881674,537470,607079,573046,34033,91844,23647,2694,27339,84591,292220,9050,2196884,458650,3527,1381,16030,243,338,51.0,49.0,94.0,62.0,38.0
UTTAR PRADESH,GORAKHPUR,188,4440895,2277777,2163118,2700328,1593890,1106438,951128,761958,189170,296619,149727,14597,65360,255280,544038,30258,4009037,403847,9662,2123,2848,460,207,51.0,49.0,95.0,59.0,41.0
UTTAR PRADESH,KUSHINAGAR,189,3564544,1818055,1746489,1954820,1183722,771098,785099,742324,42775,127331,29304,3486,35931,103014,404094,12849,2928462,620244,5006,767,4619,383,133,51.0,49.0,96.0,61.0,39.0
UTTAR PRADESH,DEORIA,190,3100946,1537436,1563510,1875239,1079288,795951,665706,597778,67928,150001,60348,4469,36068,122308,379700,13388,2730957,358539,3626,818,1182,209,146,50.0,50.0,102.0,58.0,42.0
UTTAR PRADESH,AZAMGARH,191,4613913,2285004,2328909,2771917,1559414,1212503,971458,891024,80434,183381,49699,6652,47324,159910,500400,20757,3878626,718692,3810,719,5652,183,226,50.0,50.0,102.0,56.0,44.0
UTTAR PRADESH,MAU,192,2205968,1114709,1091259,1363044,773082,589962,451528,352207,99321,149908,40087,2656,26716,82073,232564,7411,1769937,428555,2109,340,564,155,129,51.0,49.0,98.0,57.0,43.0
UTTAR PRADESH,BALLIA,193,3239774,1672902,1566872,1963590,1160960,802630,629381,564927,64454,119972,62157,4672,42969,115533,342823,10846,3004240,213440,4463,892,1595,233,64,52.0,48.0,94.0,59.0,41.0
UTTAR PRADESH,JAUNPUR,194,4494204,2220465,2273739,2731677,1565394,1166283,1006670,926088,80582,181467,56508,8002,52398,211780,515736,22876,3981502,483750,4947,1286,7898,349,114,49.0,51.0,102.0,57.0,43.0
UTTAR PRADESH,GHAZIPUR,195,3620268,1855075,1765193,2197549,1293553,903996,761640,700173,61467,105767,36798,5309,50180,139187,375976,21169,3233790,368153,4181,810,3145,213,184,51.0,49.0,95.0,59.0,41.0
UTTAR PRADESH,CHANDAULI,196,1952756,1017905,934851,1174606,699454,475152,395759,344937,50822,99602,32433,3492,20762,109887,190317,7313,1727869,215081,2153,1389,340,100,1175,52.0,48.0,92.0,60.0,40.0
UTTAR PRADESH,VARANASI,197,3676841,1921857,1754984,2403903,1389116,1014787,755064,438935,316129,336056,202055,19214,57583,309911,398076,24216,3107681,546987,7696,3309,1146,1898,298,52.0,48.0,91.0,58.0,42.0
UTTAR PRADESH,BHADOHI,198,1578213,807099,771114,910146,546782,363364,339507,293510,45997,83220,23178,2896,16198,72638,149061,6910,1368291,203887,1365,199,1562,161,7,51.0,49.0,96.0,60.0,40.0
UTTAR PRADESH,MIRZAPUR,199,2496970,1312302,1184668,1428683,865837,562846,543115,465152,77963,145997,43500,4447,24518,136132,237437,10205,2292534,195765,2373,1133,341,701,27,53.0,47.0,90.0,61.0,39.0
UTTAR PRADESH,SONBHADRA,200,1862559,971344,891215,985708,601988,383720,428088,337048,91040,95582,40467,5149,25220,80712,165535,10279,1738769,103567,3963,1649,1747,487,1907,52.0,48.0,92.0,61.0,39.0
UTTAR PRADESH,ETAH,201,1774480,947339,827141,1055202,647042,408160,401998,334246,67752,69591,37027,2635,19712,79090,200961,6644,1611126,146346,2464,708,2887,5671,18,53.0,47.0,87.0,61.0,39.0
UTTAR PRADESH,KASGANJ,202,1436719,764165,672554,724850,452803,272047,343724,271234,72490,50405,26849,1623,13109,53987,149712,3854,1211427,213822,1969,2280,3907,313,72,53.0,47.0,88.0,62.0,38.0
BIHAR,WEST CHAMPARAN,203,3935042,2061110,1873932,1759481,1091226,668255,936134,839514,96620,57546,38414,3495,41143,69056,371137,10911,3047427,865090,8469,926,1337,296,1895,52.0,48.0,91.0,62.0,38.0
BIHAR,EAST CHAMPARAN,204,5099371,2681209,2418162,2276957,1407603,869354,1243825,1142260,101565,74979,52358,7719,70258,96546,585210,19282,4086453,990349,4865,668,878,464,104,53.0,47.0,90.0,62.0,38.0
BIHAR,SHEOHAR,205,656246,346673,309573,283698,171645,112053,166000,158484,7516,10004,3983,478,6698,11722,83296,1410,552492,99342,522,216,73,52,44,53.0,47.0,89.0,61.0,39.0
BIHAR,SITAMARHI,206,3423574,1803252,1620322,1436794,885188,551606,856964,807294,49670,66263,39465,3460,42461,61089,340890,7292,2672311,740101,2897,261,253,188,20,53.0,47.0,90.0,62.0,38.0
BIHAR,MADHUBANI,207,4487379,2329313,2158066,2155338,1340085,815253,1088786,1047552,41234,113281,47090,5319,65548,73851,486531,11636,3652168,818912,3262,564,328,442,169,52.0,48.0,93.0,62.0,38.0
BIHAR,SUPAUL,208,2229076,1155283,1073793,1033283,647672,385611,600102,572287,27815,51028,12111,1845,25078,26559,207212,4064,1809936,409251,3758,271,136,546,42,52.0,48.0,93.0,63.0,37.0
BIHAR,ARARIA,209,2811569,1463333,1348236,1195768,727643,468125,703274,659061,44213,43290,17004,2561,29796,40387,240730,5041,1593525,1207442,4116,371,187,1910,63,52.0,48.0,92.0,61.0,39.0
BIHAR,KISHANGANJ,210,1690400,866970,823430,745056,439921,305135,445150,401793,43357,58718,11715,1093,14073,28736,130592,2436,531236,1149095,5783,398,183,1476,28,51.0,49.0,95.0,59.0,41.0
BIHAR,PURNIA,211,3264619,1699370,1565249,1332326,805261,527065,798596,712847,85749,86058,33688,4170,33664,63200,258284,8390,1989420,1255641,7989,614,353,1450,650,52.0,48.0,92.0,60.0,40.0
BIHAR,KATIHAR,212,3071029,1600430,1470599,1280190,762256,517934,738070,668232,69838,60900,32570,2941,27263,60110,239686,5118,1684589,1365645,8659,2754,212,507,2141,52.0,48.0,92.0,60.0,40.0
BIHAR,MADHEPURA,213,2001762,1047559,954203,834577,517666,316911,510278,486278,24000,23236,12302,1397,23309,23209,182773,4560,1753829,241760,1342,170,60,133,81,52.0,48.0,91.0,62.0,38.0
BIHAR,SAHARSA,214,1900661,997174,903487,804996,506374,298622,470697,432651,38046,41342,21651,1668,19415,30518,166317,3824,1629254,266620,1292,197,60,109,8,52.0,48.0,91.0,63.0,37.0
BIHAR,DARBHANGA,215,3937385,2059949,1877436,1816634,1125566,691068,1002713,907174,95539,127442,59510,6280,53205,80085,440719,10325,3042729,881476,3534,832,245,236,101,52.0,48.0,91.0,62.0,38.0
BIHAR,MUZAFFARPUR,216,4801062,2527497,2273565,2509232,1487117,1022115,1119394,998694,120700,180651,87796,10290,73012,172027,547479,23333,4032773,745546,5149,933,288,382,98,53.0,47.0,90.0,59.0,41.0
BIHAR,GOPALGANJ,217,2562012,1267666,1294346,1382998,793905,589093,554058,515925,38133,69375,31193,3707,33596,61380,316314,9508,2119262,436057,2463,271,167,133,28,49.0,51.0,102.0,57.0,43.0
BIHAR,SIWAN,218,3330464,1675090,1655374,1930175,1115906,814269,674372,632514,41858,52935,42384,3834,37833,74071,401299,10891,2712635,608282,2618,369,407,359,86,50.0,50.0,99.0,58.0,42.0
BIHAR,SARAN,219,3951862,2022821,1929041,2157454,1285767,871687,777622,701323,76299,94787,51822,4509,37442,128169,423960,10948,3534772,406449,2330,371,229,322,107,51.0,49.0,95.0,60.0,40.0
BIHAR,VAISHALI,220,3495021,1844535,1650486,1926740,1152576,774164,750811,699317,51494,70001,47300,4810,39564,101269,390123,11316,3152346,333980,2203,707,362,246,71,53.0,47.0,89.0,60.0,40.0
BIHAR,SAMASTIPUR,221,4261566,2230003,2031563,2142880,1293575,849305,1056465,1012979,43486,88021,46123,5379,50918,84248,441421,10621,3800598,452370,2126,554,292,231,112,52.0,48.0,91.0,60.0,40.0
BIHAR,BEGUSARAI,222,2970541,1567660,1402881,1548673,918507,630166,733625,594377,139248,120373,49493,4644,43127,76761,334335,9821,2554330,407348,2209,402,229,276,57,53.0,47.0,89.0,59.0,41.0
BIHAR,KHAGARIA,223,1666886,883786,783100,768028,461153,306875,394703,373696,21007,40641,15401,1580,21654,31220,159866,3120,1486989,175588,1253,143,79,86,115,53.0,47.0,89.0,60.0,40.0
BIHAR,BHAGALPUR,224,3037766,1615663,1422103,1573066,937669,635397,653161,522527,130634,174534,63241,6764,46929,117040,308044,8644,2487866,537098,3556,415,180,1050,32,53.0,47.0,88.0,60.0,40.0
BIHAR,BANKA,225,2034763,1067140,967623,965321,590961,374360,444096,425604,18492,62359,15459,1704,22300,32859,181116,3258,1772655,250925,6138,139,113,94,1035,52.0,48.0,91.0,61.0,39.0
BIHAR,MUNGER,226,1367765,729041,638724,801817,473741,328076,308063,222281,85782,90461,49141,2653,17946,69973,149671,3755,1252319,110416,1815,338,95,145,61,53.0,47.0,88.0,59.0,41.0
BIHAR,LAKHISARAI,227,1000912,526345,474567,507270,305182,202088,207645,175882,31763,44491,12938,1186,8862,31048,95917,2415,956396,40886,487,140,52,78,52,53.0,47.0,90.0,60.0,40.0
BIHAR,SHEIKHPURA,228,636342,329743,306599,328676,196431,132245,132638,108293,24345,20065,6803,631,8873,16279,61568,1728,596102,37653,313,75,41,43,31,52.0,48.0,93.0,60.0,40.0
BIHAR,NALANDA,229,2877653,1497060,1380593,1519933,919558,600375,616663,514141,102522,101378,43761,4156,43848,87070,273472,7955,2669775,198033,1978,393,414,561,64,52.0,48.0,92.0,60.0,40.0
BIHAR,PATNA,230,5838465,3078512,2759953,3459679,2028047,1431632,1210094,657991,552103,546859,321307,40692,132582,453344,662665,49821,5356075,439952,12551,4803,1062,2151,203,53.0,47.0,90.0,59.0,41.0
BIHAR,BHOJPUR,231,2728407,1430380,1298027,1599151,973486,625665,511927,434559,77368,62153,45763,3661,34658,87879,268330,7391,2518216,197819,2165,544,647,1472,48,52.0,48.0,91.0,61.0,39.0
BIHAR,BUXAR,232,1706352,887977,818375,989807,593544,396263,334657,299252,35405,46760,27362,1784,19324,48405,174119,5341,1591454,105423,2125,248,5090,97,57,52.0,48.0,92.0,60.0,40.0
BIHAR,KAIMUR,233,1626384,847006,779378,920276,549923,370353,340442,325143,15299,52899,12540,2100,17223,48728,149676,6503,1456229,155283,1407,296,7707,129,1534,52.0,48.0,92.0,60.0,40.0
BIHAR,ROHTAS,234,2959918,1543546,1416372,1799832,1061783,738049,608061,512383,95678,114893,41659,4594,36279,106218,312557,10819,2645415,300487,2889,2569,1584,252,537,52.0,48.0,92.0,59.0,41.0
BIHAR,GAYA,236,4391418,2266566,2124852,2297613,1368803,928810,807571,696289,111282,112617,57738,6856,57011,107970,383973,11827,3876395,488121,3943,913,870,1723,108,52.0,48.0,94.0,60.0,40.0
BIHAR,NAWADA,237,2219146,1144668,1074478,1091012,659474,431538,424874,379551,45323,31162,20522,1841,28411,34020,182748,3991,1964620,244394,1299,250,176,279,80,52.0,48.0,94.0,60.0,40.0
BIHAR,JAMUI,238,1760405,916064,844341,858588,534385,324203,356760,325909,30851,32633,12984,1839,22414,27056,159792,4842,1525746,217621,8443,162,159,87,3438,52.0,48.0,92.0,62.0,38.0
BIHAR,JEHANABAD,239,1125313,585582,539731,618881,374412,244469,214792,186660,28132,27641,15507,1106,11302,32086,100130,2522,1045117,75742,691,148,248,60,58,52.0,48.0,92.0,60.0,40.0
BIHAR,ARWAL,240,700843,363497,337346,386351,235279,151072,144294,134334,9960,2203,4176,413,6378,11482,63570,1386,634099,64259,390,59,323,74,60,52.0,48.0,93.0,61.0,39.0
SIKKIM,NORTH SIKKIM,241,43709,24730,18979,30450,18579,11871,13609,11543,2066,7826,2343,116,590,4193,6150,638,14883,815,2660,816,23318,35,921,57.0,43.0,77.0,61.0,39.0
SIKKIM,WEST SIKKIM,242,136435,70238,66197,93432,51988,41444,33977,32091,1886,25272,5337,286,1956,10840,16776,1379,75286,965,13002,40,36390,20,10477,51.0,49.0,94.0,56.0,44.0
SIKKIM,SOUTH SIKKIM,243,146850,76670,70180,106741,59357,47384,39298,31135,8163,27587,10021,591,2626,14689,21124,2026,84583,1889,21462,151,35053,45,3176,52.0,48.0,92.0,56.0,44.0
SIKKIM,EAST SIKKIM,244,283583,151432,132151,214329,121345,92984,82138,40626,41512,57893,35170,3291,9662,40378,49441,6556,177910,6198,23398,861,72455,214,1726,53.0,47.0,87.0,57.0,43.0
