State name,District name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
HIMACHAL PRADESH,HAMIRPUR,28,454768,217070,237698,358091,180555,177536,211348,196116,15232,104120,34978,2521,7525,86324,90286,6665,449412,3711,243,591,95,293,9,48.0,52.0,110.0,50.0,50.0
HIMACHAL PRADESH,UNA,29,521173,263692,257481,399715,213281,186434,205217,185091,20126,105929,43809,2412,8238,88894,90729,8059,480138,14275,390,26009,56,70,10,51.0,49.0,98.0,53.0,47.0
HIMACHAL PRADESH,BILASPUR,30,381956,192764,189192,287620,155599,132021,164445,152458,11987,79146,17262,1574,6281,61392,66935,6573,371973,6984,236,2387,113,10,7,50.0,50.0,98.0,54.0,46.0
HIMACHAL PRADESH,SOLAN,31,580320,308754,271566,428578,244372,184206,244296,192787,51509,119866,53722,5250,14478,94692,108699,15117,548579,14678,1452,13926,574,591,110,53.0,47.0,88.0,57.0,43.0
HIMACHAL PRADESH,SIRMAUR,32,529855,276289,253566,362645,205617,157028,192156,171102,21054,91509,28904,2220,8593,58902,75406,7459,476830,33215,577,15501,2645,236,86,52.0,48.0,92.0,57.0,43.0
HIMACHAL PRADESH,SHIMLA,33,814010,425039,388971,612642,342846,269796,375165,279269,95896,172754,108888,9177,24127,131450,161675,23107,791449,11810,2025,4047,3262,185,197,52.0,48.0,92.0,56.0,44.0
HIMACHAL PRADESH,KINNAUR,34,84121,46249,37872,60699,36697,24002,44514,44514,0,17865,10740,354,2563,12925,16468,2775,64732,448,485,249,18086,29,45,55.0,45.0,82.0,60.0,40.0
PUNJAB,GURDASPUR,35,2298323,1212617,1085706,1634719,907660,727059,606348,420860,185488,411216,244468,14428,38445,365644,336075,32484,1074332,27667,176587,1002874,405,580,812,53.0,47.0,90.0,56.0,44.0
PUNJAB,KAPURTHALA,36,815168,426311,388857,576567,316254,260313,261203,165433,95770,161206,110555,9732,23145,144945,145116,23561,336124,10190,5445,453692,6662,553,334,52.0,48.0,91.0,55.0,45.0
PUNJAB,JALANDHAR,37,2193590,1145211,1048379,1622537,882581,739956,708130,330339,377791,446200,299449,39082,79134,401189,395069,72374,1394329,30233,26016,718363,11385,4011,805,52.0,48.0,92.0,54.0,46.0
PUNJAB,HOSHIARPUR,38,1586625,809057,777568,1199699,637927,561772,551265,422673,128592,319930,201675,13747,34328,285904,278411,33720,1000743,23089,14968,538208,3476,2034,531,51.0,49.0,96.0,53.0,47.0
PUNJAB,SHAHID BHAGAT SINGH NAGAR,39,612310,313291,299019,438459,239155,199304,231551,183168,48383,125068,64934,5264,13936,109258,110382,14456,401368,6829,1479,192885,5885,695,266,51.0,49.0,95.0,55.0,45.0
PUNJAB,FATEHGARH SAHIB,40,600163,320795,279368,426033,238696,187337,174896,117559,57337,113683,64037,5138,14294,98080,98401,18239,152851,16808,1698,427521,48,178,251,53.0,47.0,87.0,56.0,44.0
PUNJAB,LUDHIANA,41,3498739,1867816,1630923,2560225,1428348,1131877,1036821,395032,641789,703624,488757,58589,123400,604959,606726,120172,1502403,77713,16517,1863408,2007,19620,1254,53.0,47.0,87.0,56.0,44.0
PUNJAB,MOGA,42,995746,525920,469826,627889,348549,279340,288439,214295,74144,183396,89445,7897,21662,152610,155841,26253,158414,9388,3277,818921,178,436,365,53.0,47.0,89.0,56.0,44.0
