lon,lat,district,State name,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households,Rural_Households,Urban_Households,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Households_with_Internet,Households_with_Computer,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Car_Jeep_Van,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Male_percentage,Female_percentage,Sex_ratio,Male_literacy_percent,Female_literacy_percent
79.5225823703367,10.706636611690087,THIRUVARUR,TAMIL NADU,619,1264277,626693,637584,946471,503085,443386,408179,321331,86848,303114,109580,4416,15535,287260,225629,6790,1132785,96092,33192,258,151,279,64,50.0,50.0,102.0,53.0,47.0
77.81888935815839,10.386879806948073,DINDIGUL,TAMIL NADU,612,2159775,1080938,1078837,1481834,816180,665654,713542,443818,269724,500057,209640,9155,38677,458486,379839,15538,1879494,105012,169945,313,256,71,138,50.0,50.0,100.0,55.0,45.0
78.0093623934143,9.927038212682639,MADURAI,TAMIL NADU,623,3038252,1526475,1511777,2273430,1223810,1049620,1010441,417718,592723,754141,391821,34097,95311,708942,618922,30852,2760502,168881,97711,520,199,1532,305,50.0,50.0,99.0,54.0,46.0
77.43703683946471,9.884601483960706,THENI,TAMIL NADU,624,1245899,625683,620216,870080,479403,390677,410623,189328,221295,312310,147529,4667,18830,291879,209456,6607,1148990,56751,37574,152,79,28,74,50.0,50.0,99.0,55.0,45.0
77.90031342676482,9.498108465785304,VIRUDHUNAGAR,TAMIL NADU,625,1942288,967709,974579,1398788,760375,638413,734724,363782,370942,505950,235005,10219,37357,457317,353909,9845,1822626,47838,67405,245,87,98,75,50.0,50.0,101.0,54.0,46.0
78.00530779019518,8.894308773527655,THOOTHUKKUDI,TAMIL NADU,627,1750176,865021,885155,1349697,703106,646591,636739,336078,300661,437916,200616,11455,35791,407876,344974,14650,1373920,80740,291908,127,286,53,112,49.0,51.0,102.0,52.0,48.0
77.35807454938366,8.308281582374626,KANYAKUMARI,TAMIL NADU,629,1870374,926345,944029,1548738,780541,768197,598041,104253,493788,465692,199188,15673,52943,438938,398548,21577,909872,78590,876299,160,438,156,10,50.0,50.0,102.0,50.0,50.0
79.53575792465449,12.12033222801339,VILUPPURAM,TAMIL NADU,607,3458873,1740819,1718054,2195776,1234479,961297,967314,808042,159272,748444,228172,8472,43311,676077,547305,13030,3174941,133896,138279,325,238,4032,278,50.0,50.0,99.0,56.0,44.0
79.45125607968188,11.54006939417811,CUDDALORE,TAMIL NADU,617,2605914,1311697,1294217,1815281,1000322,814959,758209,497429,260780,598412,244610,15396,50938,555029,470021,19828,2391675,123749,83334,401,236,1280,138,50.0,50.0,99.0,55.0,45.0
78.88048989644184,10.361865844577599,PUDUKKOTTAI,TAMIL NADU,621,1618345,803188,815157,1110545,608776,501769,503941,399712,104229,354493,82967,4494,18272,324444,286329,7882,1428784,114194,72850,119,81,32,293,50.0,50.0,101.0,55.0,45.0
78.58784006833797,9.92733744024807,SIVAGANGA,TAMIL NADU,622,1339101,668672,670429,959744,526304,433440,452417,309224,143193,314270,113822,5773,24456,304124,258837,8222,1186078,74310,75481,150,80,109,24,50.0,50.0,100.0,55.0,45.0
78.68066723408904,9.446590426732026,RAMANATHAPURAM,TAMIL NADU,626,1353445,682658,670787,978946,536487,442459,417239,290478,126761,291400,100484,5172,22379,284169,252000,5524,1047411,208038,91139,154,86,29,36,50.0,50.0,98.0,55.0,45.0
79.73084656174237,10.815375793791906,NAGAPATTINAM,TAMIL NADU,618,1616450,798127,818323,1213008,640916,572092,517740,399016,118724,381940,143846,5585,19692,362211,282418,9042,1435072,128617,47579,184,450,963,110,49.0,51.0,103.0,53.0,47.0
77.60527097113011,8.572994621924575,TIRUNELVELI,TAMIL NADU,628,3077233,1520912,1556321,2273457,1210710,1062747,1064667,547962,516705,779130,361760,19070,63590,694984,571195,24290,2425630,303368,342254,268,373,144,450,49.0,51.0,102.0,53.0,47.0
78.94708801566162,12.903426258486057,VELLORE,TAMIL NADU,605,3936331,1961688,1974643,2773928,1504355,1269573,1140300,653499,486801,865913,417535,20623,69912,797713,653681,20393,3397857,414760,111390,676,438,3514,251,50.0,50.0,101.0,54.0,46.0
79.83257757159595,12.831458310278908,KANCHEEPURAM,TAMIL NADU,604,3998252,2012958,1985294,3013382,1611461,1401921,1213504,438799,774705,961161,622095,100322,200738,904619,832716,68427,3537399,173785,256762,1620,990,4962,756,50.0,50.0,99.0,53.0,47.0
76.37360983005308,21.370514371359985,BURHANPUR,MADHYA PRADESH,467,757847,388504,369343,408679,233073,175606,178840,115979,62861,112420,40478,986,5058,58527,55999,2142,552526,180840,1199,1074,19883,1884,99,51.0,49.0,95.0,57.0,43.0
80.21339383269807,21.157832287083604,GONDIA,MAHARASHTRA,507,1322507,661554,660953,1004243,542837,461406,386515,319702,66813,239981,38044,2866,13595,104997,123673,5074,1153861,26157,1827,2160,125282,1568,5080,50.0,50.0,100.0,54.0,46.0
79.75832814013378,21.121418078543975,BHANDARA,MAHARASHTRA,506,1200334,605520,594814,899860,488709,411151,356418,283843,72575,227025,55948,2932,13165,117299,131424,5184,1009352,26502,2145,831,154458,1017,3555,50.0,50.0,98.0,54.0,46.0
75.49121419803967,20.936184744436996,JALGAON,MAHARASHTRA,499,4229917,2197365,2032552,2891882,1629223,1262659,1169788,796223,373565,720791,350029,14297,56775,431221,459652,19560,3457615,560261,7091,3091,143865,27404,9662,52.0,48.0,92.0,56.0,44.0
82.60994909892052,21.20681568886782,MAHASAMUND,CHHATTISGARH,411,1032754,511967,520787,637963,364089,273874,310567,274793,35774,212487,13200,961,5614,68012,65540,3546,1008061,12570,5284,2941,521,1495,1417,50.0,50.0,102.0,57.0,43.0
78.58785137046293,20.798152260772195,WARDHA,MAHARASHTRA,504,1300774,668385,632389,1019458,552617,466841,388704,268486,120218,266155,114029,4313,16260,170620,166398,6970,1057096,53854,2696,2147,175417,5663,2254,51.0,49.0,95.0,54.0,46.0
76.40826380994828,20.517445665864685,BULDHANA,MAHARASHTRA,500,2586258,1337560,1248698,1879874,1048892,830982,728192,575405,152787,423036,103898,4767,24877,225282,293299,10034,1845424,354236,3531,1668,364229,12242,522,52.0,48.0,93.0,56.0,44.0
73.12080028648319,20.42521988337406,VALSAD,GUJARAT,491,1705678,887222,818456,1170657,655528,515129,498391,262410,235981,329218,137209,11020,31285,188248,242422,23938,1571147,94034,19661,1589,913,13809,1417,52.0,48.0,92.0,56.0,44.0
77.05894078062512,20.750061163811047,AKOLA,MAHARASHTRA,501,1813906,932334,881572,1411281,758977,652304,504235,308158,196077,314490,107463,6163,24232,176674,195210,9037,1107809,357253,4483,1504,328033,10205,389,51.0,49.0,95.0,54.0,46.0
86.63105900000765,20.984859533301954,BHADRAK,ORISSA,378,1506337,760260,746077,1094140,596269,497871,428106,373862,54244,164636,15864,2637,15609,86821,165031,3670,1398543,104202,745,169,81,111,61,50.0,50.0,98.0,54.0,46.0
85.52327684209705,20.828611403884338,DHENKANAL,ORISSA,383,1192811,612593,580218,829910,464093,365817,352369,315390,36979,117172,19846,1810,10600,66148,98136,3533,1185542,4805,727,124,366,39,139,51.0,49.0,95.0,56.0,44.0
86.1549186356782,20.844565980221923,JAJPUR,ORISSA,382,1827192,926034,901158,1290455,706396,584059,541139,495611,45528,192249,25969,3831,17922,106545,174831,5921,1725595,93642,1623,470,58,100,3073,51.0,49.0,97.0,55.0,45.0
83.82593221762318,20.931942821303604,SUBARNAPUR,ORISSA,392,610183,311312,298871,398421,230393,168028,193502,176927,16575,50028,5168,708,4289,31103,43134,1332,605225,1566,2374,58,46,17,6,51.0,49.0,96.0,58.0,42.0
82.57547615250056,20.468611546395007,NUAPADA,ORISSA,394,610382,301962,308420,299383,180903,118480,209127,197258,11869,43976,6414,757,4221,21975,38600,1346,601092,4952,1778,724,76,905,22,49.0,51.0,102.0,60.0,40.0
83.17088286918778,20.58151196262726,BALANGIR,ORISSA,393,1648997,830097,818900,927260,545672,381588,538962,476770,62192,123446,21268,3286,17274,83505,125574,4629,1618175,7811,16271,565,467,2225,141,50.0,50.0,99.0,59.0,41.0
74.07144156371065,20.257359946512747,NASHIK,MAHARASHTRA,516,6107187,3157186,2950001,4345366,2397538,1947828,1668932,904661,764271,904710,536781,45039,138887,630639,798663,79590,5237009,693052,23946,8912,94783,38212,1795,52.0,48.0,93.0,55.0,45.0
84.17095733371114,20.645673311076088,BOUDH,ORISSA,391,441162,221625,219537,271612,158648,112964,137954,131377,6577,19191,3105,245,3430,13253,24261,755,438152,1007,522,24,5,11,7,50.0,50.0,99.0,58.0,42.0
80.2461854412061,19.78839541533046,GADCHIROLI,MAHARASHTRA,508,1072942,541328,531614,708365,395110,313255,330840,293586,37254,145459,31014,1663,11064,63613,73787,3098,927411,21063,3872,681,82695,454,30047,50.0,50.0,98.0,56.0,44.0
77.21446747319627,20.234593558500222,WASHIM,MAHARASHTRA,502,1197160,620302,576858,869917,487703,382214,330846,274925,55921,196022,36840,1875,10757,97022,125662,3623,859949,142672,1707,518,179330,8476,381,52.0,48.0,93.0,56.0,44.0
85.69934220359286,20.451632649487312,CUTTACK,ORISSA,381,2624470,1352760,1271710,2011469,1103033,908436,790297,579529,210768,349587,103177,15046,40589,236867,298570,15494,2457729,141263,11985,1026,6276,1180,168,52.0,48.0,94.0,55.0,45.0
79.43981658339648,20.114667838405445,CHANDRAPUR,MAHARASHTRA,509,2204307,1123834,1080473,1578615,872565,706050,684655,451324,233331,418666,172661,8239,31419,229635,250418,12746,1780085,92297,10701,5251,286734,3861,23188,51.0,49.0,96.0,55.0,45.0
78.16246641718833,20.085161634583407,YAVATMAL,MAHARASHTRA,510,2772348,1419965,1352383,2022574,1115980,906594,798132,629243,168889,446516,134500,6094,29917,245261,279184,12132,2251401,239236,4567,1596,249874,11422,3745,51.0,49.0,95.0,55.0,45.0
84.04762224226914,20.129772981656014,KANDHAMAL,ORISSA,390,733110,359945,373165,399786,233900,165886,242935,218446,24489,28736,6938,768,6609,19477,37068,1278,580300,2138,148895,82,290,47,23,49.0,51.0,104.0,59.0,41.0
75.97892191862668,19.81126963437864,JALNA,MAHARASHTRA,514,1959046,1011473,947573,1195523,699428,496095,502830,404746,98084,288895,60219,3791,17236,158182,255420,8400,1504641,274221,12542,1629,152540,9619,336,52.0,48.0,94.0,59.0,41.0
85.00174213064837,20.213625598048495,NAYAGARH,ORISSA,385,962789,502636,460153,688362,392333,296029,288334,261646,26688,124984,11159,1163,8278,50425,88288,2270,955754,5278,383,107,33,24,12,52.0,48.0,92.0,57.0,43.0
81.1296490133274,20.141846767835382,UTTAR BASTAR KANKER,CHHATTISGARH,413,748941,373338,375603,456042,258298,197744,194069,169191,24878,110208,7736,579,4084,37017,36065,1932,627460,6040,4007,552,2213,1071,105869,50.0,50.0,101.0,57.0,43.0
85.51405294028916,20.09012994913013,KHORDHA,ORISSA,386,2251673,1167137,1084536,1749936,957515,792421,688729,331834,356895,349860,160277,35701,75588,253754,324544,33514,2147632,84060,12527,1264,475,476,434,52.0,48.0,93.0,55.0,45.0
83.10592174044339,19.86396424655825,KALAHANDI,ORISSA,395,1576869,787101,789768,802036,484177,317859,494748,456336,38412,91171,17610,1953,12622,58571,95057,3547,1555367,4975,11160,796,175,1225,220,50.0,50.0,100.0,60.0,40.0
86.3375884351037,20.222295690418967,JAGATSINGHPUR,ORISSA,380,1136971,577865,559106,889027,481049,407978,352732,309685,43047,139646,20225,3199,13312,87312,150044,4349,1086140,46929,1604,206,74,58,63,51.0,49.0,97.0,54.0,46.0
85.72754823354747,19.878165612020148,PURI,ORISSA,387,1698730,865380,833350,1291939,704857,587082,474224,402014,72210,201605,33331,3416,16006,118112,178144,4693,1644905,46094,4239,193,243,94,302,51.0,49.0,96.0,55.0,45.0
74.6705998073653,19.20320071149273,AHMEDNAGAR,MAHARASHTRA,522,4543159,2342825,2200334,3151890,1773355,1378535,1323404,1041393,282011,677592,300116,18370,68902,474009,639160,41423,4107143,320743,22766,5431,33898,38718,1408,52.0,48.0,94.0,56.0,44.0
82.33357953825178,19.575756911663998,NABARANGAPUR,ORISSA,397,1220946,604812,616134,470379,286984,183395,372264,342840,29424,34570,9347,1324,8128,23582,56803,2030,1178005,6753,32152,169,189,325,54,50.0,50.0,102.0,61.0,39.0
77.09255243616575,19.623561603715657,HINGOLI,MAHARASHTRA,512,1177345,606294,571051,790743,450551,340192,284369,242456,41913,159114,27700,1221,9676,73640,134812,3833,863199,127552,992,643,176679,5278,103,51.0,49.0,94.0,57.0,43.0
83.51913128924932,19.36445559657536,RAYAGADA,ORISSA,396,967911,471960,495951,407735,241959,165776,286548,237343,49205,61543,24924,1553,9166,42998,56834,2090,874445,4607,84916,219,249,123,44,49.0,51.0,105.0,59.0,41.0
77.61956407204242,19.117690621556985,NANDED,MAHARASHTRA,511,3361292,1730075,1631217,2189425,1255222,934203,821682,591119,230563,488748,116284,7548,43055,216364,384823,12341,2501741,471951,3902,13540,354189,5049,1273,51.0,49.0,94.0,57.0,43.0
81.08902975312013,19.56992284892406,NARAYANPUR,CHHATTISGARH,415,139820,70104,69716,56621,33449,23172,33095,26916,6179,9316,1384,86,589,4126,4069,196,129161,776,600,96,71,409,8542,50.0,50.0,99.0,59.0,41.0
76.67446666810187,19.265581643888215,PARBHANI,MAHARASHTRA,513,1836086,942870,893216,1157814,666291,491523,427239,293480,133759,272486,59272,3982,21196,135933,224888,6973,1328385,306364,2081,1371,187899,6238,262,51.0,49.0,95.0,58.0,42.0
74.06452826937597,18.568669315295825,PUNE,MAHARASHTRA,521,9429408,4924105,4505303,7171723,3940210,3231513,3222457,1165718,2056739,1925019,1410448,235018,490260,1555272,1792197,273326,8090254,673704,134192,27090,340404,127786,9873,52.0,48.0,91.0,55.0,45.0
75.8319476590622,18.94701166861575,BEED,MAHARASHTRA,523,2585049,1349106,1235943,1718507,987185,731322,698571,563114,135457,402052,82098,5614,29198,205352,346380,12836,2174672,320395,2097,824,68482,8719,399,52.0,48.0,92.0,57.0,43.0
72.87558421002278,19.093178373232302,MUMBAI,MAHARASHTRA,519,3085411,1684608,1400803,2509022,1410680,1098342,1107321,0,1107321,625927,494883,121344,204234,543699,602209,80168,1873762,773173,84555,13471,134257,166000,31094,55.0,45.0,83.0,56.0,44.0
82.71491172353205,18.813902446950944,KORAPUT,ORISSA,398,1379647,678809,700838,568090,340843,227247,460128,381789,78339,85766,39631,3988,17294,60021,87649,6922,1294151,8850,68550,518,219,491,3384,49.0,51.0,103.0,60.0,40.0
84.01225327182601,18.591571945445637,SRIKAKULAM,ANDHRA PRADESH,542,2703114,1341738,1361376,1495381,857824,637557,902436,752752,149684,615432,149554,3988,32280,297418,332230,5264,2666950,9025,18879,193,77,160,106,50.0,50.0,101.0,57.0,43.0
83.3772809394515,18.467701857955884,VIZIANAGARAM,ANDHRA PRADESH,543,2344474,1161477,1182997,1238388,707503,530885,749514,592458,157056,527736,140361,4453,24128,278230,265587,5002,2299129,16423,17853,380,114,815,183,50.0,50.0,102.0,57.0,43.0
76.76519915065467,18.3767965317703,LATUR,MAHARASHTRA,524,2454196,1273140,1181056,1650672,932432,718240,585632,428616,157016,381722,96018,6217,29758,190739,302745,13150,2006984,367664,2387,935,66535,6387,310,52.0,48.0,93.0,56.0,44.0
76.04431705247055,18.190917919235456,OSMANABAD,MAHARASHTRA,525,1657576,861535,796041,1137810,644304,493506,444990,367158,77832,240042,49180,3209,18183,117741,200323,7974,1437623,178925,942,340,28216,4530,195,52.0,48.0,92.0,57.0,43.0
